id,value,color,textcolor
C++,1,#16385B,#F5CB5C
Java,1,#16385B,#F5CB5C
C,1,#16385B,#F5CB5C
C#,1,#16385B,#F5CB5C
HTML/CSS,1,#16385B,#F5CB5C
Javascript,1,#16385B,#F5CB5C
Assembly,1,#16385B,#F5CB5C
Visualization,2,#16385B,#F5CB5C
CG,2,#16385B,#F5CB5C
Unity,2,#16385B,#F5CB5C
Android,2,#16385B,#F5CB5C
Unreal Engine,2,#16385B,#F5CB5C
D3.js,2,#16385B,#F5CB5C
VR,2,#16385B,#F5CB5C
React-Native,2,#16385B,#F5CB5C
NodeJS,2,#16385B,#F5CB5C
